age,annual_income,education_level,city_type,daily_commute_km,weekly_travel_distance_km,current_vehicle_type,vehicle_age_years,fuel_expense_per_month,charging_station_accessibility,nearest_charging_station_km,home_charging_available,electricity_cost_per_kwh,environmental_awareness_score,government_incentive_awareness,technology_affinity_score,range_anxiety_score,battery_replacement_concern,ev_knowledge_score,previous_ev_experience,ev_adoption_likelihood,monthly_energy_consumption_kwh,monthly_charging_cost
56,23019.0,High School,Suburban,39.8,205.7,Hatchback,6.1,317.1,3.9,9.5,1,0.14,8.3,6.4,5.2,4.6,3.5,6.9,0,High,199.8,28.5
46,26440.0,High School,Suburban,34.6,218.4,Sedan,4.4,290.0,4.5,11.6,1,0.16,7.8,10.0,5.7,5.5,7.4,6.9,1,High,139.8,22.9
46,57167.0,PhD,Suburban,30.5,177.7,Sedan,0.4,201.4,6.3,6.4,1,0.24,7.6,6.4,7.8,5.3,6.2,6.8,0,High,158.0,38.5
23,15841.0,Master,Suburban,44.6,325.9,SUV,0.0,407.3,5.2,8.8,0,0.22,6.2,5.6,5.1,7.9,5.7,7.2,0,Low,207.0,45.0
50,51571.0,Master,Urban,52.4,281.0,SUV,5.2,458.4,4.3,0.5,0,0.22,9.7,9.9,8.2,2.6,4.7,8.1,0,High,195.6,43.9
23,19315.0,Bachelor,Urban,32.8,167.6,SUV,4.0,275.7,8.0,2.0,0,0.12,4.3,6.7,4.0,8.5,5.0,4.9,0,Low,118.1,14.1
53,52110.0,High School,Suburban,14.0,99.0,Hatchback,2.7,90.1,6.8,12.4,0,0.11,6.5,5.7,5.6,4.4,6.2,7.3,0,Medium,90.9,9.6
69,126618.0,High School,Urban,40.9,314.9,Truck,1.7,391.6,9.6,0.5,1,0.32,6.9,7.2,7.5,5.9,7.4,7.4,0,High,203.3,65.0
53,62712.0,Bachelor,Urban,42.1,256.8,Hatchback,3.1,397.9,8.3,15.2,1,0.15,6.6,6.6,4.7,6.8,5.1,6.6,0,Medium,193.3,28.5
69,41775.0,High School,Rural,40.9,262.3,Sedan,7.0,363.9,4.7,11.4,1,0.23,4.9,4.1,5.5,6.3,3.8,5.1,0,Low,202.4,47.5
46,67343.0,Master,Suburban,18.8,133.6,SUV,8.7,133.7,5.6,11.0,1,0.22,6.4,8.9,8.5,3.2,5.0,8.8,0,High,131.6,28.7
42,27271.0,Bachelor,Urban,31.4,160.8,Hatchback,3.3,250.8,10.0,3.5,0,0.25,9.2,10.0,5.1,3.4,8.7,8.5,1,High,132.5,32.9
43,28828.0,Bachelor,Suburban,47.8,247.3,Truck,1.4,387.7,5.4,12.3,1,0.26,8.9,9.3,5.3,2.1,4.1,7.2,0,High,161.6,41.6
30,56928.0,Master,Rural,44.0,254.4,Sedan,6.0,399.8,8.9,11.7,1,0.33,8.7,8.3,6.9,3.9,6.1,8.5,0,High,241.9,81.0
32,86553.0,High School,Urban,41.7,220.3,Hatchback,5.4,330.6,5.8,6.4,0,0.27,7.6,7.8,8.4,3.1,5.6,8.8,0,High,149.5,40.1
57,20054.0,High School,Suburban,16.7,120.5,Sedan,7.9,50.0,1.0,9.7,0,0.11,8.1,5.2,8.7,5.7,7.0,8.5,0,Medium,98.1,10.5
36,64910.0,Master,Urban,22.9,148.7,Sedan,0.0,263.4,6.4,6.2,0,0.12,8.2,7.2,7.6,5.8,7.7,7.5,1,High,134.6,16.0
24,33549.0,Bachelor,Suburban,13.9,89.5,SUV,2.9,149.9,3.6,2.5,0,0.19,9.3,9.2,9.8,5.9,5.9,10.0,0,High,80.1,15.2
64,30497.0,PhD,Suburban,5.0,29.8,Sedan,8.5,-0.7,,6.1,1,0.27,8.2,8.9,7.1,3.3,3.6,7.5,0,High,22.3,6.0
56,36914.0,PhD,Suburban,58.8,388.8,Sedan,7.7,533.1,6.5,15.9,1,0.33,6.9,5.9,7.8,3.4,4.4,7.7,0,High,396.2,131.5
26,46292.0,Bachelor,Suburban,53.6,388.3,Truck,10.8,474.0,3.7,15.4,0,0.14,6.7,4.3,8.5,2.2,3.1,7.9,0,High,241.6,32.7
21,40102.0,Bachelor,Suburban,28.6,218.3,SUV,7.9,295.1,3.1,12.7,0,0.08,9.0,8.1,8.3,2.9,1.5,7.5,1,High,164.1,13.8
24,21092.0,Bachelor,Rural,55.0,402.0,Sedan,6.4,442.9,2.7,7.6,1,0.17,6.1,1.7,6.4,9.7,9.1,4.5,0,Low,273.1,47.0
39,44305.0,Master,Urban,31.5,190.2,Sedan,11.0,359.6,8.6,1.9,0,0.17,6.1,4.7,6.9,6.4,4.5,8.5,0,High,127.3,21.5
34,43948.0,Bachelor,Urban,23.4,149.3,Hatchback,7.7,208.8,10.0,7.5,0,0.2,10.0,2.8,7.1,4.8,5.4,7.8,0,High,110.5,22.2
23,43946.0,Bachelor,Suburban,29.7,200.8,Hatchback,12.3,305.4,1.0,14.3,0,0.32,9.6,3.2,8.8,4.7,6.2,7.1,1,Medium,121.5,39.2
44,36202.0,Master,Urban,5.0,32.9,SUV,7.2,38.6,7.5,4.1,0,0.13,9.7,7.1,5.4,4.4,5.4,9.6,0,High,30.7,3.9
46,44121.0,Master,Urban,7.9,51.7,Truck,8.6,-0.8,5.5,0.5,1,0.23,8.0,7.3,7.7,2.5,3.0,10.0,0,High,33.5,7.6
55,37054.0,High School,Suburban,57.6,387.1,Hatchback,7.0,467.2,4.0,8.3,0,0.3,8.7,6.6,10.0,2.8,9.2,10.0,0,High,369.0,110.7
45,19183.0,Bachelor,Urban,5.0,33.0,Sedan,6.7,-19.2,3.3,0.5,1,0.27,4.5,9.4,6.0,7.5,4.9,6.1,0,Medium,21.9,5.8
67,58647.0,Master,Urban,62.6,387.7,Hatchback,4.7,503.9,8.9,6.9,1,0.27,9.0,2.7,7.3,4.1,5.6,7.1,1,High,330.7,88.4
45,37316.0,Bachelor,Suburban,34.2,231.6,Sedan,4.2,339.1,3.7,8.0,0,0.31,3.8,3.5,5.3,7.5,2.8,5.1,0,Low,213.5,65.4
58,72412.0,Bachelor,Urban,54.8,395.1,SUV,5.2,400.0,6.5,1.9,1,0.19,6.5,5.5,8.2,5.5,6.4,9.2,0,High,350.6,67.7
33,43493.0,Bachelor,Urban,32.5,240.7,Sedan,12.8,250.3,9.2,1.4,1,0.16,10.0,6.5,8.5,4.4,8.6,,0,High,224.1,35.7
54,47711.0,Bachelor,Urban,31.7,173.2,Hatchback,5.7,267.3,5.6,0.5,1,0.09,9.0,6.2,7.8,5.6,4.7,8.9,0,High,111.7,9.5
41,57267.0,Bachelor,Urban,41.7,219.2,SUV,8.1,368.6,9.7,6.8,1,0.25,9.7,8.0,6.6,4.0,4.0,7.8,1,High,164.5,40.9
